symbol,quoteCurrency,market
COTI-BTC,BTC,DeFi
NIM-BTC,BTC,BTC
FX-BTC,BTC,BTC
CHR-BTC,BTC,NFT
OCEAN-BTC,BTC,Polkadot
ATOM-BTC,BTC,BTC
KMD-BTC,BTC,BTC
CRO-BTC,BTC,BTC
MTV-BTC,BTC,BTC
RIF-BTC,BTC,BTC
XMR-BTC,BTC,BTC
ANKR-BTC,BTC,BTC
FET-BTC,BTC,BTC
NRG-BTC,BTC,BTC
LOKI-BTC,BTC,BTC
BNB-BTC,BTC,BTC
AKRO-BTC,BTC,Polkadot
JAR-BTC,BTC,BTC
XEM-BTC,BTC,BTC
VID-BTC,BTC,BTC
TOKO-BTC,BTC,BTC
ONE-BTC,BTC,BTC
ENQ-BTC,BTC,BTC
DERO-BTC,BTC,BTC
WIN-BTC,BTC,BTC
NOIA-BTC,BTC,BTC
DAPPT-BTC,BTC,BTC
CHZ-BTC,BTC,NFT
BOLT-BTC,BTC,BTC
FORESTPLUS-BTC,BTC,BTC
WXT-BTC,BTC,BTC
ADA-BTC,BTC,BTC
ZEC-BTC,BTC,BTC
XTZ-BTC,BTC,BTC
ALGO-BTC,BTC,BTC
ONT-BTC,BTC,BTC
WAN-BTC,BTC,DeFi
ENJ-BTC,BTC,NFT
ETC-BTC,BTC,BTC
AOA-BTC,BTC,BTC
TIME-BTC,BTC,BTC
OMG-BTC,BTC,BTC
NEO-BTC,BTC,BTC
SNX-BTC,BTC,DeFi
PLAY-BTC,BTC,BTC
UTK-BTC,BTC,BTC
REQ-BTC,BTC,BTC
CAPP-BTC,BTC,BTC
LTC-BTC,BTC,BTC
EOS-BTC,BTC,BTC
CPC-BTC,BTC,BTC
COV-BTC,BTC,BTC
MVP-BTC,BTC,BTC
DCR-BTC,BTC,BTC
LOOM-BTC,BTC,BTC
IOST-BTC,BTC,BTC
GAS-BTC,BTC,BTC
WBTC-BTC,BTC,BTC
FRONT-BTC,BTC,DeFi
REVV-BTC,BTC,NFT
GOM2-BTC,BTC,BTC
MSWAP-BTC,BTC,BTC
CAS-BTC,BTC,BTC
BUX-BTC,BTC,BTC
SHR-BTC,BTC,BTC
OPCT-BTC,BTC,BTC
UQC-BTC,BTC,BTC
GRIN-BTC,BTC,BTC
SOLVE-BTC,BTC,BTC
VSYS-BTC,BTC,BTC
BCH-BTC,BTC,BTC
LYM-BTC,BTC,BTC
DASH-BTC,BTC,BTC
BAX-BTC,BTC,BTC
MAN-BTC,BTC,BTC
ETH-BTC,BTC,BTC
KAT-BTC,BTC,BTC
MKR-BTC,BTC,DeFi
ELF-BTC,BTC,BTC
KNC-BTC,BTC,DeFi
GMB-BTC,BTC,BTC
LSK-BTC,BTC,BTC
NULS-BTC,BTC,BTC
TRX-BTC,BTC,BTC
DOCK-BTC,BTC,BTC
SOUL-BTC,BTC,NFT
BCHSV-BTC,BTC,BTC
ZIL-BTC,BTC,BTC
ELA-BTC,BTC,BTC
DGB-BTC,BTC,BTC
WAX-BTC,BTC,BTC
XYO-BTC,BTC,BTC
ZRX-BTC,BTC,DeFi
AION-BTC,BTC,BTC
OLT-BTC,BTC,BTC
FTM-BTC,BTC,BTC
AVA-BTC,BTC,BTC
DAG-BTC,BTC,BTC
ADB-BTC,BTC,BTC
IOTX-BTC,BTC,BTC
CRPT-BTC,BTC,BTC
XRP-BTC,BTC,BTC
KLV-BTC,BTC,BTC
AMB-BTC,BTC,BTC
CVC-BTC,BTC,BTC
XLM-BTC,BTC,BTC
KEY-BTC,BTC,BTC
DENT-BTC,BTC,BTC
BCD-BTC,BTC,BTC
TRAC-BTC,BTC,BTC
SNT-BTC,BTC,BTC
QKC-BTC,BTC,BTC
NRFB-BTC,BTC,BTC
